Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
18.04.12,Грибы,Альтернария,113,спороношение слабое
16.04.12,Лиственные деревья,Ольха,4,концентрация пыльцы низкая
16.04.12,Лиственные деревья,Орешник,7,
16.04.12,Лиственные деревья,Тополь,67,концентрация пыльцы высокая
16.04.12,Лиственные деревья,Береза,203,концентрация пыльцы очень высокая
16.04.12,Лиственные деревья,Клен,11,концентрация пыльцы низкая
16.04.12,Лиственные деревья,Вяз,23,концентрация пыльцы низкая
16.04.12,Лиственные деревья,Ясень,20,концентрация пыльцы низкая
16.04.12,Лиственные деревья,Ива,5,концентрация пыльцы низкая
16.04.12,Грибы,Кладоспориум,190,спороношение сладое
16.04.12,Грибы,Альтернария,98,спороношение слабое
15.04.12,Лиственные деревья,Ольха,12,концентрация пыльцы низкая
15.04.12,Лиственные деревья,Орешник,18,концентрация пыльцы низкая
15.04.12,Лиственные деревья,Тополь,65,концентрация пыльцы высокая
15.04.12,Лиственные деревья,Береза,256,концентрация пыльцы очень высокая
15.04.12,Лиственные деревья,Клен,9,концентрация пыльцы низкая
15.04.12,Лиственные деревья,Вяз,7,концентрация пыльцы низкая
15.04.12,Лиственные деревья,Ясень,6,концентрация пыльцы низкая
15.04.12,Лиственные деревья,Ива,8,концентрация пыльцы низкая
15.04.12,Грибы,Кладоспориум,55,концентрация спор в воздухе низкая
15.04.12,Грибы,Альтернария,40,концентрация спор низкая
14.04.12,Лиственные деревья,Ольха,22,пыление среднее
14.04.12,Лиственные деревья,Орешник,13,концентрация пыльцы низкая
14.04.12,Лиственные деревья,Тополь,68,концентрация пыльцы высокая
14.04.12,Лиственные деревья,Береза,210,концентрация пыльцы высокая
14.04.12,Лиственные деревья,Клен,5,концентрация пыльцы низкая
14.04.12,Лиственные деревья,Вяз,4,концентрация пыльцы низкая
14.04.12,Лиственные деревья,Ясень,7,концентрация пыльцы низкая
14.04.12,Лиственные деревья,Ива,9,концентрация пыльцы низкая
14.04.12,Грибы,Кладоспориум,91,концентрация спор низкая
14.04.12,Грибы,Альтернария,220,концентрация спор низкая
13.04.12,Лиственные деревья,Ольха,21,
13.04.12,Лиственные деревья,Орешник,25,концентрация пыльцы средняя
13.04.12,Лиственные деревья,Тополь,92,Концентрация пыльцы высокая
13.04.12,Лиственные деревья,Береза,103,Концентрация пыльцы высокая
13.04.12,Лиственные деревья,Ясень,11,концентрация пыльцы низкая
13.04.12,Лиственные деревья,Ива,14,концентрация пыльцы низкая
13.04.12,Грибы,Кладоспориум,118,спороношение слабое
13.04.12,Грибы,Альтернария,201,спороношение слабое
12.04.12,Лиственные деревья,Ольха,7,пыление слабое
12.04.12,Лиственные деревья,Орешник,15,пыление слабое
12.04.12,Лиственные деревья,Тополь,10,Пыление низкое
12.04.12,Лиственные деревья,Береза,34,Концентрация пыльцы средняя
12.04.12,Лиственные деревья,Ива,3,Концентрация пыльцы низкая
12.04.12,Грибы,Альтернария,24,спороношение слабое
11.04.12,Лиственные деревья,Ольха,12,"Сегодня солнечный день, концентрация пыльцы низкая"
11.04.12,Лиственные деревья,Орешник,11,концентрация пыльцы низкая
11.04.12,Лиственные деревья,Тополь,5,концентрация пыльцы низкая
11.04.12,Лиственные деревья,Береза,27,концентрация пыльцы средняя
11.04.12,Лиственные деревья,Ива,4,концентрация пыльцы низкая
11.04.12,Грибы,Альтернария,14,спороношение слабое
11.04.12,Лиственные деревья,--Название--,0,
11.04.12,Лиственные деревья,--Название--,0,
10.04.12,Лиственные деревья,Ольха,5,
10.04.12,Лиственные деревья,Орешник,18,
10.04.12,Лиственные деревья,Береза,14,
10.04.12,Лиственные деревья,Ива,5,
09.04.12,Лиственные деревья,Ольха,10,
09.04.12,Лиственные деревья,Орешник,12,
09.04.12,Лиственные деревья,Береза,6,
